"session","created","modified","ended","expired","id_genero","id_genero_otra","or_sexual","or_sexual_otra","sex_asignado","inter_sex","inst_01","inst_02","inst_03","interp_01a","interp_01b","interp_02a","interp_02b","interp_03a","interp_03b","interp_04","interp_05a","interp_05b","interp_06a","interp_06b","interp_07","tem_1","tem_2","tem_3","tem_4","hetcis_1","hetcis_2","hetcis_3","hetcis_4","hetcis_5"
"","2022-10-25 23:19:56","2022-10-25 23:20:03","2022-10-25 23:20:03","","6","thank the formr monkey","7","thank the formr monkey","2","2","6","6","6","5","5","5","5","6","6","6","6","6","6","6","6","2","4","2","2","6","6","6","6","6"
"","2022-10-25 23:22:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:24:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:24:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:24:39","2022-10-25 23:33:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:25:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:27:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:27:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:33:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:34:04","2022-10-25 23:37:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:37:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:38:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:40:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:42:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:44:54","2022-10-25 23:48:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:52:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:57:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-26 00:13:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-26 00:15:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
