"session","created","modified","ended","expired","Part_estudio","Part_estudio_otras","Tiempo_estudio","Tiempo_estudio2","Part_trabajorem","Tiempo_trabajorem","Part_trabajodom","Tiempo_trabajodom","Part_ocio","Tiempo_ocio","Part_personal","Part_personal_otra","Tiempo_personal"
"BwNAWC-j99fr-bm02aRJ4Brjr5bHOGZ4c2hEL0hCTp2O9Hqb2wFE5X7FhfzHUw2o","2022-11-10 16:27:34","2022-11-10 16:28:52","2022-11-10 16:28:52","","","","4","2","1","5","2","2","2","3","1, 2, 3","","2"
"NJF1ALsxO3uPlmvwo5VvofOrnrpV3UmSNDBV39H60QiYv1DlnfFU-Ix-2l0jXX31","2022-11-10 16:51:27","2022-11-10 16:53:23","2022-11-10 16:53:23","","","","4","2","4","1","2","2","2","2","1, 2, 3","","5"
"","2022-11-10 18:48:31","","","","","","","","","","","","","","","",""
"thankfulGooseXXX2AFA8Nt6Ip20iwPBLQyx9Ujpn4Pq7g7QieJxt-5R_7xnNYQ7","2022-11-10 19:53:20","","2022-11-10 20:04:07","","","","","","","","","","","","","",""
"hn_DJFwIXxmJ_GpftvuFBpmyjgmGItZkbmbfjGFqEp_W3DQRTQqiQv7uOPzfDKwb","2022-11-10 19:53:20","2022-11-10 20:04:09","2022-11-10 20:04:09","","","","1","1","3","1","1","1","1","1","1, 2, 3","","1"
"happyDugongXXXmftrMaqLin8ocrcqkD8teoL_l3PDZhNqZg4lKTgHYDoZfNoJ0e","2022-11-10 20:24:34","","","","","","","","","","","","","","","",""
"","2022-11-11 01:21:19","","","","","","","","","","","","","","","",""
"","2022-11-11 02:35:42","","","","","","","","","","","","","","","",""
"","2022-11-11 02:38:59","","","","","","","","","","","","","","","",""
"","2022-11-11 15:15:30","","","","","","","","","","","","","","","",""
"BGHBynjVrzVBuHEk4XbOBpivXqGrepRZqkM7wf4kqJcEwIj80KuaZKZhuwye2Zl1","2022-11-12 20:45:34","2022-11-12 20:45:47","2022-11-12 20:45:47","","","","1","1","1","1","1","1","1","1","2","","1"
"","2022-11-13 22:11:18","","","","","","","","","","","","","","","",""
"lG2hJhaBVFaxTVN5Eoihm-7O8Cs5gnvC2iZR9-GyZZAeL3jedQ7xWwt9ZT2x_N36","2022-11-13 22:44:08","2022-11-13 22:44:28","2022-11-13 22:44:28","","","","7","6","8","6","3","5","3","3","2","","2"
"","2022-11-13 22:53:52","","","","","","","","","","","","","","","",""
"","2022-11-13 22:54:26","","","","","","","","","","","","","","","",""
"","2022-11-13 22:55:46","","","","","","","","","","","","","","","",""
"","2022-11-13 22:57:26","","","","","","","","","","","","","","","",""
"","2022-11-13 23:08:31","","","","","","","","","","","","","","","",""
"","2022-11-14 18:21:30","2022-11-14 18:31:04","","","","","","","","","","","","","","",""
"","2022-11-14 18:52:15","","","","","","","","","","","","","","","",""
"","2022-11-14 18:53:47","","","","","","","","","","","","","","","",""
"zealousGharialXXXCrBfNV1EefQjjndv1uWyME3K58ztWVvR4OUlDw2pRQuL609","2022-11-14 18:55:24","","","","","","","","","","","","","","","",""
"","2022-11-14 19:02:23","","","","","","","","","","","","","","","",""
"","2022-11-14 19:03:33","","","","","","","","","","","","","","","",""
"","2022-11-14 19:04:40","","","","","","","","","","","","","","","",""
"","2022-11-14 19:05:59","","","","","","","","","","","","","","","",""
"","2022-11-14 19:06:58","","","","","","","","","","","","","","","",""
"","2022-11-14 19:09:00","","","","","","","","","","","","","","","",""
"","2022-11-14 19:09:35","","","","","","","","","","","","","","","",""
"","2022-11-14 19:10:13","","","","","","","","","","","","","","","",""
"","2022-11-14 21:40:48","2022-11-14 21:43:14","","","","","","","","","","","","","","",""
"darkPointerXXXE9wUMM9GClmaAQCZg1fWlZzjInpFtd7TRq2jzZjPbe6B5o48dR","2022-11-14 21:49:28","","2022-11-14 21:49:36","","","","","","","","","","","","","",""
"distinctBisonXXXFVmjQPI8SRDa5zf5Dok1A8ZhM4mWOCCPSKXE4hZRTdSn2uYj","2022-11-14 22:02:53","","2022-11-14 22:02:54","","","","","","","","","","","","","",""
"","2022-11-14 22:06:03","2022-11-14 22:06:37","2022-11-14 22:06:38","","","","5","5","1","5","2","5","2","5","3","","5"
"BODPLx8KJl3lbBkuNsDIM_fgHgEQU9YLVP1gTK5agD6y6l2JFekTIaM0RPBOozQx","2022-11-15 00:17:04","2022-11-15 00:18:55","2022-11-15 00:18:56","","1, 2, 3, 5","","8","","4","","2","2","2","3","1, 2, 3, 4","","3"
"BGHBynjVrzVBuHEk4XbOBpivXqGrepRZqkM7wf4kqJcEwIj80KuaZKZhuwye2Zl1","2022-11-15 04:23:57","2022-11-15 04:24:15","2022-11-15 04:24:16","","1, 2, 3, 4, 5, 6","","4","5","3","5","1","","1","","1, 2","","7"
"-YHH0jIZS4lEEgxFgz1WZaKxWom7iFjJ141Iz0Y8N1a9aXq536z3R_nJskDfjX3A","2022-11-15 04:27:59","2022-11-15 04:28:11","2022-11-15 04:28:12","","4","","6","7","3","5","1","","2","5","2","","5"
"whOqN9xP2KpSx_WfwyUb3ZhQXR5XDXxOk2grGOVg1YJjtJ3oOj-kPMMhFFYdC69Z","2022-11-15 05:46:24","2022-11-15 05:46:34","2022-11-15 05:46:34","","2","","5","5","2","5","2","5","1","","3","","2"
"KwJ9zdhAq05pbosg16clhWZrd-mk-aW0kfZGYKn6WufVzV2a_PezPUkWnIxUBVNP","2022-11-15 16:37:17","2022-11-15 16:39:41","2022-11-15 16:39:42","","1, 2","","10","10","4","","2","2","2","1","1, 2","","2"
"mTwjH2pD1-EPwXh-GQTrueBOdbr5BHz040CfyYSN04TJ2N4qf_4n9xF4RD0UDrCL","2022-11-15 17:01:34","2022-11-15 17:03:46","2022-11-15 17:03:47","","2, 5","","5","1","4","","2","1","2","2","1, 2, 3","","1"
"2eOwvJFS6kdBepqY1gzMssuN2MCSMArXiytTelfiozyX5tq4dodNk6zpbBRzlwge","2022-11-15 17:16:19","2022-11-15 17:18:56","2022-11-15 17:18:56","","1, 2","","9","","4","","2","2","2","1","1, 2, 3","","5"
"wH7p_PKqUtA6e8ONrOxt5SM-nHUIL3HqHQHSGLIydHpyCKbIlxFyJi-S9vK5CMMm","2022-11-15 17:26:10","2022-11-15 17:27:37","2022-11-15 17:27:37","","1, 2, 3, 5","","7","2","3","1","1","","2","2","1, 2","","2"
"WaDk-WJi8dnFU3IemajgmYU4T4EyAT6rpwVg3trKQZ-Nfh5c5pIerQ8ds0QRX7UV","2022-11-15 17:31:22","2022-11-15 17:33:26","2022-11-15 17:33:27","","1, 2","","8","2","4","","2","5","1","","1, 2, 3, 4","","7"
"0xncM8LMqs7WO2kwGXSYMZcZDkR4XLVD5LP2hl0noZ06SNsDq-S4R4s1oyDkYAYQ","2022-11-15 18:04:50","2022-11-15 18:06:43","2022-11-15 18:06:43","","1, 2, 3, 5","","5","2","2","1","2","1","2","1","1, 2, 3, 4","","5"
"_Y7Jk9klLNoqEbagImxVpcNfutQOTPEzwuqIuWsfCnvgIMgXEg1uNDnV1iuDF6Nm","2022-11-15 19:05:38","2022-11-15 19:07:04","2022-11-15 19:07:05","","1, 2, 5","","7","2","4","","2","5","2","4","1, 2","","5"
"4qL1lQ6lfDC4grN99Qfq1JEIt92lpt_KaX55gjHGoVkArAnUOhmTyv66Xs9YM62K","2022-11-15 19:25:09","2022-11-15 19:27:21","2022-11-15 19:27:21","","1, 2, 3","","10","7","3","1","2","6","2","6","1, 2, 3","","2"
"1vv2z9dEezRoU0FdlLrdBpxkSMvZJAxcCsq4X3nDhRr57S1yEjhsVSn43h1VF9up","2022-11-15 19:29:02","2022-11-15 19:30:51","2022-11-15 19:30:51","","1, 2","","7","2","4","","2","1","2","1","1, 2, 3","","6"
"RANPYKvPeuOCRikbGDkFSSRUNeijQoHBirfUvz8bKJUJRbq6TYJf6CjNJwbKPL0s","2022-11-15 19:43:39","2022-11-16 04:20:37","2022-11-16 04:20:37","","1, 2","","4","","3","1","2","2","2","6","1, 2, 3","","5"
"distinctBisonXXXFVmjQPI8SRDa5zf5Dok1A8ZhM4mWOCCPSKXE4hZRTdSn2uYj","2022-11-15 20:22:21","2022-11-16 13:05:01","","","","","","","","","","","","","","",""
"","2022-11-15 20:35:07","2022-11-15 20:35:51","2022-11-15 20:35:52","","2, 5","","3","3","1","3","2","2","2","1","3, 4","","3"
"","2022-11-15 20:40:19","2022-11-15 20:41:33","2022-11-15 20:41:33","","5","JFJFDJD","6","6","4","","2","4","2","3","4","JDJDJD","4"
"","2022-11-15 20:42:16","2022-11-15 20:43:08","2022-11-15 20:43:09","","5","Jdjdj","2","3","4","","2","3","2","3","4","Jdjdj","4"
"-rxBjGnxGWNGa6PR506FUk1HsoFv5ufEK1ILTLCVExfpeN8gd6UZ1tQAtZXkf2jG","2022-11-15 20:42:45","2022-11-15 20:46:59","2022-11-15 20:46:59","","1, 2, 3","","7","4","2","3","2","2","2","4","1, 2, 4","","5"
"Jh440YPaIonqvMXQ-A1-w9-NfriDaFYabF0sEUHhepSO-SThpotGkwcf0SZThg2N","2022-11-15 20:47:46","2022-11-15 20:48:15","2022-11-15 20:48:15","","5","hh","7","7","3","7","2","7","2","7","4","hhjjjh","7"
"helpfulPygmyXXXWNaJQlj8a8Kvv_1cq9MYzq2Dm6F96-4H-kio4tY0HCPbVe9Q6","2022-11-15 20:49:22","2022-11-15 20:50:30","2022-11-15 20:50:30","","1, 2, 5","","7","","4","","2","3","2","3","1, 2, 3","","2"
"ZUwndYrvvbSbnwbwak9ZcmFx2SgDIMuO22HYL9R_eWb1y-phieKN3jbWT1kwlSTc","2022-11-15 20:54:54","2022-11-15 20:55:58","2022-11-15 20:55:58","","1, 2","","5","","4","","2","5","2","3","1, 2, 3","","4"
"QlNrolXSpenuhQFKZEqkh-g1AlhTTnnvZ50scguUYUgbx9sE0FbvAcovyhxYQvLy","2022-11-15 22:30:32","2022-11-15 22:32:13","2022-11-15 22:32:13","","1, 2, 3, 5","","5","2","4","","2","2","1","","1, 2, 3","","3"
"lX7LciWuNAzOEMme_nFFRpfA9AOftxwBB8eZ8bsifku521tQOePZj34v-ye-6pCy","2022-11-15 22:37:28","2022-11-15 22:41:19","2022-11-15 22:41:20","","1, 2, 5","","8","3","2","","2","2","2","2","1, 2, 3, 4","","5"
"qHjmYWKB17EL3MVhmLgqFIatDS1Cbwzb2cd0hptGTgPy2-IzYOtvRqgkUX4UWjvt","2022-11-15 22:51:58","2022-11-15 22:54:00","2022-11-15 22:54:00","","1, 2, 3","","5","2","1","10","1","","2","1","1, 2, 3","","5"
"TBB-RVQk48vz8Kj4XHxC8jx2SHVIBiKRDxoz9dSmZhjs8V_tDlSnFmfn8U3XwQLW","2022-11-15 23:42:57","2022-11-15 23:45:56","2022-11-15 23:45:56","","1, 2, 3, 5","","8","3","4","","2","2","2","2","1, 2, 3","","2"
"yS0ANC9cM7-X9Zk4rVd4oKxeeBZo__TOAp50zte-vVPVzzknYHQ_AEmobJPfkE4i","2022-11-15 23:57:09","2022-11-16 00:00:52","2022-11-16 00:00:52","","1, 2","","8","","3","1","2","1","2","1","1, 2, 3","","4"
"k6DFYxJaI2GTuHnLGc6yx_vJ5FUVFg_DvhKuL9KYuXul92iL5KaFCKnCS9GlmTFc","2022-11-16 00:28:17","2022-11-16 00:30:02","2022-11-16 00:30:04","","1, 2","","8","1","4","","2","3","2","5","1, 2, 3","","1"
"rORBG_YfobjShngBbF6HELtu4CviJNaT-c3VTTCYHmQGZ-7KJZze5XtNhCJNpWF_","2022-11-16 02:23:08","2022-11-16 02:26:51","2022-11-16 02:26:51","","1, 2, 3","","5","3","1","7","2","5","2","2","1, 2, 3","","4"
"FPryQuH5eAFC6cdMMLT3m3snlQ48zWxCKQjsv-StMQ4cpMpHMAfzwQgRD7ASw-Ex","2022-11-16 02:53:13","2022-11-16 02:54:54","2022-11-16 02:54:54","","1, 2","","4","1","3","","2","1","2","3","1, 2, 3","","5"
"98Av_-Ldjg4Zpl2burE7u9Qg1O6r_2iB5JXrzgu3lRpbqN6qAoRZKN6aQpI591Ol","2022-11-16 03:02:51","2022-11-16 03:04:28","2022-11-16 03:04:28","","1, 2, 3","","6","","4","","2","3","2","3","1, 2, 3","","4"
"Qu5wrQ7EGPMs1ZO0Uqs2O1hXubhfsYSrrSMu0R0gMqjqXk6KvN_QOgsN0wvM9NWd","2022-11-16 03:55:03","2022-11-16 03:56:31","2022-11-16 03:56:32","","1, 2","","8","2","3","2","2","4","2","1","1, 2, 3, 4","","1"
"vPV9BOmXtXaFOKxAFGa9lyqxJGwn3l4Sx-McHWCcXSGNYN-PgMT-fs0TRUsmTohj","2022-11-16 04:38:52","2022-11-16 04:39:01","2022-11-16 04:39:01","","3","","5","5","2","5","1","","2","5","1","","3"
"vlFRiH9n3FMT7K-AtDF_I2lv2IHXmvEDVfRwBAGeHAiSDzvoZed851ekpkrYCBHJ","2022-11-16 11:06:25","2022-11-16 11:08:44","2022-11-16 11:08:44","","1, 2, 3","","10","","1","1","2","2","2","2","1, 2, 3","","4"
"xeMwpPptOwjVfZjzgYVMjwAXZ3EVqU5815JZCZbDQAK7U1QnrEE99OE5MIzuR75R","2022-11-16 12:12:43","2022-11-16 12:14:57","2022-11-16 12:14:57","","1","","8","3","4","","2","1","2","4","1, 2, 3","","2"
"50JvRzQZU5ptbqJx5aHVWnKBOgTG3H0LAnTRuEZ5EfXtKhL0hVlxbRSfduphVkiQ","2022-11-16 12:25:19","2022-11-16 12:27:12","2022-11-16 12:27:12","","1, 2, 5","","4","3","1","6","2","2","2","2","1, 2, 3, 4","","3"
"fmyrSACPeLlPs5zlG37wEdubB2alJRiippMK8StN7RsHKxjH_lBpnok7COePkFWj","2022-11-16 13:10:59","2022-11-16 13:12:26","2022-11-16 13:12:27","","1, 2","","10","10","1","1","2","4","2","1","1, 2, 3","","1"
"GWPDNs8-c7KWQ4WyvUHqlF9OquIMdZgKJzE_ENvc_QALIr-Oz5BhrvJ3dCM1LZe8","2022-11-16 17:28:12","2022-11-16 17:30:33","2022-11-16 17:30:33","","1, 2, 3, 4, 5","","4","3","2","1","2","1","2","2","1, 2, 3, 4","","6"
"2gbJVSsgrx6AUm6kpysQaqUTYhHyy-z30xrecQaYCVvrLMZDxcnXnNhRiEklJxML","2022-11-16 17:54:07","2022-11-16 17:55:30","2022-11-16 17:55:30","","1, 2, 3","","2","1","2","2","2","2","1","","1, 2, 3","","2"
"xsNbE6IuV9nQKXqbZYnZ1eFsjRsNOb4skoPRZf6rcukXEB-ooifhsZP17jho7n66","2022-11-16 21:57:06","2022-11-16 21:58:26","2022-11-16 21:58:26","","1, 2","","10","","4","","2","1","2","1","1, 2","","2"
"cVkxDtEIJ9PrDjqQxxS65b3kpkY2vMS1XeGHYViJr6i8Jxf1k4NIMEP0Q9q55xwX","2022-11-17 04:41:44","2022-11-17 04:50:35","2022-11-17 04:50:35","","1, 2, 5","","6","","4","","2","2","2","7","1, 2, 3, 4","","4"
