"session","created","modified","ended","expired","satisfaccion_vida","familia_1","familia_2","familia_3","familia_3b","familia_4","e_civil","edad","carrera","anho_curs","pos_pol","opcion_pleb","interes_const","nacionalidad_1","nacionalidad_2","residencia","educ_padre","educ_madre","feedback"
"P48ZWldZsY_lFxHsj9mxu829hxhqsro55fer4tcHh5xM2WMtNeBPXmX0mlqcpo93","2022-11-10 13:05:08","2022-11-10 13:05:59","2022-11-10 13:05:59","","10","1","","2","","2","1","21","4","","3","1","3","","chilena","santiago","","",""
"nc5aeBLkSozHt4JjWxN1sFImgqpoBW1wewLByA2pS9lP5haVp7861kMy6ewJCRqQ","2022-11-10 13:10:51","2022-11-10 13:12:10","2022-11-10 13:12:10","","1","5","2","2","","1","1","22","4","","1","1","4","","chilena","chile","","",""
"hor_09K7H2kEHuktSQZJ05ULLiN6dak4ktUc_Qe5Qno4yQbDv-XhhkOpWs1yV9Og","2022-11-10 14:48:57","2022-11-10 14:51:09","2022-11-10 14:51:09","","5","3","2","2","","1","1","22","5","","3","1","4","","Chilena","Chile","","",""
"IDRelKEZ0iaFERPqxoz0VCS268b4ege5MpVKbUAFWwWRF0vR-lel7IZpRP5tuAMt","2022-11-10 15:00:12","2022-11-10 15:01:20","2022-11-10 15:01:20","","7","4","2","2","","1","1","22","5","","2","1","4","","chilena","quilicura ","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-10 15:43:31","2022-11-10 15:48:14","2022-11-10 15:48:14","","4","5","2","2","","1","1","21","4","","1","1","4","","Chilena","Las Condes","","",""
"ghWHaw2h3Z6TiB0ZbDfZv3edNtwfQs7y9ckQuunr4cUIU6WvEC7WnlMpPqDdCCCW","2022-11-10 15:54:12","2022-11-10 15:55:02","2022-11-10 15:55:02","","6","2","2","2","","2","1","20","4","","3","1","4","","Chilena","Chile","","",""
"jXwiY3JaEtnWbN6_i4h6xFJZFZV8_6xn8ZN-L6fb_P56fp6aKGPfCjNdKPnHIDPc","2022-11-10 16:00:19","2022-11-10 16:02:22","2022-11-10 16:02:22","","7","3","2","2","","1","1","22","4","","2","1","5","","chilena","san bernardo","","",""
"b-DT3TtcnFxG8EoKvISUEZ6jEyafb7rSbGKodElbAHiCxXfQi7RDU-yppS281vGI","2022-11-10 16:04:27","2022-11-10 16:06:16","2022-11-10 16:06:16","","7","5","2","2","","1","1","21","4","","3","1","4","","chilena","santiago","","",""
"f5mmdawNANM70A8QX0vKNtL0PeMDRpVGMIs6pcqPm_U_YEN5qEnbYsTgHSkhzkiR","2022-11-10 16:12:48","2022-11-10 16:14:18","2022-11-10 16:14:18","","7","4","2","2","","1","1","21","4","","1","4","1","","Chilena","Maipú","","",""
"cHN7U98IXmr_Ij6qu3bD_KKgqhAgMdOsl93a-9jO91TpRHfmIgz22sB8TRcWHBeA","2022-11-10 16:14:38","2022-11-10 16:16:12","2022-11-10 16:16:12","","7","5","2","2","","1","1","22","4","","3","1","4",""," Chilena","Santiago ","","",""
"BwNAWC-j99fr-bm02aRJ4Brjr5bHOGZ4c2hEL0hCTp2O9Hqb2wFE5X7FhfzHUw2o","2022-11-10 16:30:53","2022-11-10 16:32:07","2022-11-10 16:32:07","","4","4","2","2","","1","1","23","5","","4","1","4","","Chilena ","Cerrillos, Santiago ","","",""
"EmCfo8pV0hOt3rpBELTGc2vofN9Bwbg2WAhLDV6gZFoliVMqrS_ajpntKegYPZWL","2022-11-10 16:33:23","2022-11-10 16:34:59","2022-11-10 16:34:59","","7","4","2","2","","1","1","23","5","","2","3","1","","Chilena","Maipú","","",""
"NJF1ALsxO3uPlmvwo5VvofOrnrpV3UmSNDBV39H60QiYv1DlnfFU-Ix-2l0jXX31","2022-11-10 16:57:16","2022-11-10 16:59:11","2022-11-10 16:59:11","","6","3","2","2","","2","1","22","4","","4","1","5","","Chilena ","Macul, Santiago de Chile","","",""
"thankfulGooseXXX2AFA8Nt6Ip20iwPBLQyx9Ujpn4Pq7g7QieJxt-5R_7xnNYQ7","2022-11-10 20:12:39","","2022-11-10 20:17:14","","","","","","","","","","","","","","","","","","","",""
"","2022-11-11 15:25:01","","","","","","","","","","","","","","","","","","","","","",""
"","2022-11-13 21:44:43","","","","","","","","","","","","","","","","","","","","","",""
"lG2hJhaBVFaxTVN5Eoihm-7O8Cs5gnvC2iZR9-GyZZAeL3jedQ7xWwt9ZT2x_N36","2022-11-13 22:44:57","","","","","","","","","","","","","","","","","","","","","",""
"splendidGuineaFowlXXXMxImlmAod_5SYBBY763Qf2327zgOsgSZLuFhrh84shI","2022-11-14 00:14:38","","","","","","","","","","","","","","","","","","","","","",""
"exuberantCamelXXXAV-w-5rbgC8eLEjAL37eJClSLw6sMyadQJ727lOdqPFQ7ct","2022-11-14 00:16:46","2022-11-14 01:28:07","","","","","","","","","","","","","","","","","","","","",""
"helpfulFire-BelliedToadXXXCjGe4hawoSPh_N7eBQ_Mx_nc13Hl_BgLm-Q6aN","2022-11-14 01:28:41","2022-11-14 01:39:35","2022-11-14 01:41:22","","","","","","","","","","","","","","","","","","","",""
"helpfulFire-BelliedToadXXXCjGe4hawoSPh_N7eBQ_Mx_nc13Hl_BgLm-Q6aN","2022-11-14 01:43:02","2022-11-14 02:11:11","","","","","","","","","","","","","","","","","","","","",""
"coolChihuahuaXXXaNMbtQd-wlotDo1F-bz3aJFmwx2g_u_aGhaig8fGJ8ZYpCGq","2022-11-14 01:43:33","","","","","","","","","","","","","","","","","","","","","",""
"darkPointerXXXE9wUMM9GClmaAQCZg1fWlZzjInpFtd7TRq2jzZjPbe6B5o48dR","2022-11-14 21:50:18","","","","","","","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-14 21:54:28","","2022-11-14 21:54:45","","","","","","","","","","","","","","","","","","","",""
"BODPLx8KJl3lbBkuNsDIM_fgHgEQU9YLVP1gTK5agD6y6l2JFekTIaM0RPBOozQx","2022-11-15 00:21:40","2022-11-15 00:23:04","2022-11-15 00:23:05","","4","4","2","2","","1","1","22","4","2020","3","1","1","Chile","Chilena","Pedro Aguirre Cerda ","3","4",""
"KwJ9zdhAq05pbosg16clhWZrd-mk-aW0kfZGYKn6WufVzV2a_PezPUkWnIxUBVNP","2022-11-15 16:43:12","2022-11-15 16:45:25","2022-11-15 16:45:25","","2","4","2","2","","1","1","20","4","2021","2","1","5","chile","chilena","Puente Alto","4","5",""
